frase,traducción
Customers Who Bought This Item Also Bought,Clientes que compraron este articulo tambien compraron
Questions & Answers,Preguntas & Respuestas
Ask your Question,Haz tu pregunta
Our clients love us,Comenterios de nuestors tealovers
View all bestsellers,Ver lo más vendido
The esentials,Explora por:
Affordable interior for everyone,"Descubre productos por función, categoría, sabor o material."
YOU ADDED,Agregaste
TO YOUR SHOPPING CART.,a tu carrito de compras
There are,Hay 
items in your cart.,artículos en tu carrito de compras.
Contact us,Contáctanos
Your information is safe and secure with us. Read our privacy policy.,"Tu información esta a salvo y segura con nosotros. Por favor, lee nuestra política de privacidad."
Contacts,Contáctanos
Got Questions?,¿tiene alguna duda o pregunta?
"If you’d like to learn more about us and our products, get in touch!","Si tienes una duda sobre nosotros o nuestros productos, por favor contáctanos por email o teléfono."
Contact Info,Contácto
contact@company.com,ventas@floriteshop.com
Company Info,Datos de la compañía
Value,Valor
Quality,Calidad
Price,Precio
as low as,Desde
View My Rewards,Ver mi recompensa
You aren't subscribed to our newsletter.,No estas subscrito a nuestro boletín de noticias y promociones.
Affiliate Program,Programa de afiliados
Reward information,Recompensa
My Credit,Mi crédito
My Rewards,Mi recompensa
Points,Puntos
My Questions,Mis preguntas
Privacy Tools,Herramientas de privacidad
Accepted Consents,Consentimientos aceptados
"To use this website, you accepted our Privacy Policy.","Al utilizar este sitio web, usted aceptó nuestra Política de Privacidad."
"If you wish to withdraw your acceptance, please use the ""Delete My Data"" button below.","Si desea cancelar el uso de esta y eliminar su cuenta, utilice el botón ""Eliminar mis datos"" que aparece a continuación."
Delete Account,Eliminar cuenta
"Once you delete your data, there is no going back. Please be certain.","Una vez que eliminas tus datos, no hay vuelta atrás. Por favor esté seguro."
Delete My Data,Eliminar mis datos
My Quote,Mis cotizaciones
HOW YOUR POINTS CAN BE MANAGED,¿Cuando se caducan mis puntos?
A transaction will expire after 61 days since its creating date.,Los puntos de cada transacción caducarán después de 61 días desde su fecha de creación.
View transaction history to follow when the transaction expires.,Ve el historial de transacciones para saber cuando caducarán tus puntos.
Points,Puntos
Creating Date,Fecha de creación
Earn points for purchasing order,Puntos ganados por compra
Expired,Caducado
Recent Transactions,Transacciones recientes
Taken back points for refunding order,Puntos cancelados por reembolso
Spend points to purchase order,Puntos usados en una orden de compra
Receive email about point balance update,Recibir correo electronico con la actualización de tu saldo (puntos).
Receive email notifying before points expire,Recibir correo electronico para notificar los puntos a caducar
Reward Points Subscriptions,Subscripción a puntos de recompensa
Reward Points Settings,Configuración de puntos de recompensa
"To take part in our affiliate marketing program, please read our Terms & Conditions and answer a couple of questions below.","Para participar en nuestro programa de afiliados, lea nuestros Términos y condiciones y responda las siguientes preguntas."
Enter referral website (or specify any primary traffic source),Ingrese su sitio web o cuenta de red social de su empresa.
In this field specify any valuable information about your resource.,En este campo especifique cualquier información valiosa sobre su sitio o red social.
"The info you specify will significantly shorten the review process. Briefly describe the specifics of your resource, the products you are planning to promote, total unique visitors, and any other info you think might be relevant.","La información que proporcione acortará significativamente el proceso de revisión. Describe brevemente los detalles de tu sitio o red social, los productos que planeas promocionar, el total de visitantes únicos y cualquier otra información que creas que pueda ser relevante."
I agree to Terms & conditions,Acepto los términos y condiciones
"Please specify personal payment info, which we could use for payout: PayPal email or any e-wallet payment details.",Especifique la información de pago que podríamos utilizar: correo electrónico de PayPal o cualquier detalle de pago de billetera electrónica.
Referral website (primary traffic source),Sitio web o red social (fuente de tráfico principal)
For more information about affiliate program please go to Terms & Conditions page.,"Para obtener más información sobre el programa de afiliados, vaya a la página términos y condiciones."
